Afghanistan;Kabul;34.52;69.18;1
Albania;Tirana;41.33;19.82;1
Algeria;Algiers;36.76;3.05;1
American Samoa;Pago Pago;-14.28;-170.7;4
Andorra;Andorra la Vella;42.5;1.52;1
Angola;Luanda;-8.84;13.23;3
Anguilla;The Valley;18.22;-63.05;2
Antigua and Barbuda;St. Johns;17.12;-61.85;2
Argentina;Buenos Aires;-34.58;-58.41;4
Belize;Belmopan;17.25;-88.77;2
Benin;Porto-Novo;6.48;2.62;1
Bermuda;Hamilton;32.29;-64.78;2
Bhutan;Thimphu;27.48;89.6;1
Cayman Islands;George Town;19.3;-81.38;2
Central African Republic;Bangui;4.37;18.58;1
Chad;NDjamena;12.11;15.05;1
Chile;Santiago;-33.43;-70.57;4
China;Beijing;39.91;116.4;1
Christmas Island;Flying Fish Cove;-10.42;105.72;3
Cocos Islands;West Island;13.5;116.02;1
Dominican Republic;Santo Domingo;18.47;-69.9;2
Finland;Helsinki;60.18;24.93;1
France;Paris;48.85;2.35;1
French Guiana;Cayenne;4.93;-52.33;2
French Polynesia;Papeete;-17.53;-149.57;4
French Southern Territories;Martin-de-Vivi�s;-37.8;77.51;3
Gabon;Libreville;0.38;9.45;1
Gambia;Banjul;13.46;-16.58;2
Georgia;Tbilisi;41.73;44.79;1
Germany;Berlin;52.52;13.4;1
Ghana;Accra;5.55;-0.22;2
Gibraltar;Gibraltar;36.13;-5.35;2
Greece;Athens;37.98;23.73;1
Guinea-Bissau;Bissau;11.85;-15.58;2
Isle of Man;Douglas;54.15;-4.48;2
Lebanon;Beirut;33.87;35.51;1
Lesotho;Maseru;-29.32;27.48;3
Liberia;Monrovia;6.31;-10.8;2
Libya;Tripolis;32.89;13.18;1
Liechtenstein;Vaduz;47.14;9.52;1
Lithuania;Vilnius;54.68;25.32;1
Luxembourg;Luxembourg;49.61;6.13;1
Macao;Macao;22.2;113.55;1
Macedonia;Skopje;42;21.43;1
Tunisia;Tunis;36.8;10.18;1
Turkey;Ankara;39.93;32.86;1
Ukraine;Kiev;50.43;30.52;1
Zambia;Lusaka;-15.42;28.28;3
Zimbabwe;Harare;-17.82;31.04;3
